symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,0001755672,2019,41615077376,2022-05-04,57.26,63.336587626056144,0.10612273185567841,0.0010639663111710078
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832,1976,234057744384,2022-05-04,528.08,553.4161119487967,0.04797779114678961,0.005984118511740891
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470,2021,25675595776,2022-05-04,31.66,31.66,0.0,0.0006564440257574358
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470,1994,79552315392,2022-05-04,183.71,184.38281105990782,0.0036623540357509934,0.0020339018665757056
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948,1980,75077197824,2022-05-04,34.53,35.52290465631929,0.028754840901224727,0.0019194872209447095
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172,1919,28717621248,2022-05-04,202.13,219.52597315436242,0.08606329171504687,0.0007342190252050804
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0000064803,1996,126039982080,2022-05-04,95.98,103.05900677200903,0.07375501950415736,0.003222444922595679
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,0000882184,1978,25247592448,2022-05-04,71.72,80.49638053581192,0.1223700576660893,0.0006455013302063349
DHR,Danaher,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616,1969,180685897728,2022-05-04,248.51,252.01977198697068,0.014123262592936666,0.0046195686805847866
DRI,Darden,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944,1938,16296496128,2022-05-04,130.65,139.86623672230652,0.07054142152549957,0.0004166500211848788
DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,1979,10221433856,2022-05-04,107.5,111.70107687270345,0.039079784862357705,0.0002613298342902682
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0000315189,1837,119473963008,2022-05-04,389.44,414.971847133758,0.06556041273047965,0.00305457251837078
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904,1929,27790643200,2022-05-04,43.35,55.72597503900156,0.2854896202768526,0.0007105191193907549
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,0000818479,2016,8764587008,2022-05-04,40.68,42.22653284671533,0.03801703163017035,0.00022408285399986034
DVN,Devon,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,1971,42452312064,2022-05-04,64.28,67.38898379970544,0.048366269441590566,0.0010853717622417176
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,0001093557,1999,38798983168,2022-05-04,395.4,405.8676616915423,0.02647360063617181,0.0009919676617554532
FANG,Diamondback,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0001539838,2007,24166467584,2022-05-04,136.11,139.70046714502965,0.026379157630075926,0.0006178603763503
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,0001297996,2004,41391685632,2022-05-04,142.26,142.7628126578557,0.003534462658904214,0.0010582548886579064
DFS,Discover,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,0001393612,1985,32472358912,2022-05-04,115.56,174.96065146579804,0.51402432905675,0.0008302158281350887
DISH,Dish,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082,1980,14859947008,2022-05-04,28.09,31.905266168059832,0.13582293229120085,0.00037992198979825857
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,0001744489,1923,206732541952,2022-05-04,113.55,122.28030634573304,0.07688512854014128,0.0052854992451972956
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,0000029534,1939,54212894720,2022-05-04,236.96,238.4223047173172,0.006171103634863189,0.0013860527782271017
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,0000935703,1986,37120638976,2022-05-04,164.9,169.1875816993464,0.026001101875963554,0.0009490576927866735
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957,1983,65851052032,2022-05-04,81.23,81.57938271604938,0.004301153712290736,0.001683603764188208
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,0001286681,1960,12393747456,2022-05-04,343.84,347.7708752822364,0.011432280369463704,0.00031686904347678175
DOV,Dover,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,0000029905,1955,19611934720,2022-05-04,136.04,138.69060506050604,0.01948401250004449,0.0005014153320065429
DOW,Dow,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,0001751788,2019,49620152320,2022-05-04,68.15,72.13931909212285,0.058537330772162006,0.0012686308365270772
DTE,DTE,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,0000936340,1995,25110900736,2022-05-04,129.61,129.75432989690722,0.0011135706882741212,0.0006420065541358676
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,0001326160,1904,83426254848,2022-05-04,108.36,108.80603381014305,0.004116221946687425,0.002132946283469598
DRE,Duke Realty,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,0000783280,1972,20532101120,2022-05-04,53.12,53.301351137734514,0.00341398979168894,0.0005249410854594518
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,0001666700,2017,33756153856,2022-05-04,66.38,70.22438921812272,0.05791487222239724,0.0008630384168936384
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,0001688568,2017,7307447296,2022-05-04,29.89,41.56860234516408,0.3907193825749107,0.00018682838610040782
EMN,Eastman,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,0000915389,1920,13533301760,2022-05-04,104.95,108.36010401188707,0.0324926537578568,0.00034600385387858004
ETN,Eaton,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,0001551182,1911,58568970240,2022-05-04,146.58,147.31862223327533,0.005039038294960581,0.001497423894044602
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,0001065088,1995,30327109632,2022-05-04,53.46,55.55574468085106,0.039202107760027353,0.0007753685682739262
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,0000031462,1923,47633928192,2022-05-04,166.38,167.62489795918367,0.007482257237550635,0.0012178493483771652
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,0000827052,1886,26054062080,2022-05-04,68.42,69.44631578947369,0.01500023077278113,0.0006661202158010385
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,0001099800,1958,65862189056,2022-05-04,105.93,107.29583821434227,0.012893780934034375,0.0016838885027755147
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,0000712515,1982,34452508672,2022-05-04,122.51,140.52369863013698,0.1470385979114927,0.0008808420138484521
EMR,Emerson,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,0000032604,1890,53745123328,2022-05-04,90.48,94.39159853772017,0.04323163724270741,0.0013740933386729992
